ZombieMan2	200	DND_ZOMBIEMANID
Shotgunguy2	170	DND_SHOTGUNNERID
Chaingunguy2	170	DND_CHAINGUNGUYID
Demon2x	180	DND_DEMONID
DoomImp2	200	DND_IMPID
LostSoul2	256	DND_LOSTSOULID
CacoDemon2	128	DND_CACODEMONID
PainElemental2	128	DND_PAINELEMENTALID
Revenant2	100	DND_REVENANTID
HellKnight2	50	DND_HELLKNIGHTID
BaronOfHell2	50	DND_BARONID
Mancubus2	80	DND_FATSOID
Arachno2	128	DND_ARACHNOTRONID
ArchVile2	10	DND_ARCHVILEID
SpiderMastermind2	40	DND_SPIDERMASTERMINDID
Cyberdemon2	20	DND_CYBERDEMONID
WolfensteinSS2	170	DND_NAZIID
